City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Kieta,PG,2022-04-17 02:03:10,-6.2167,155.6333,83.26,75,95,3.78
232,Thai Binh,VN,2022-04-17 02:03:11,20.45,106.3333,68.38,85,100,5.79
233,Halifax,CA,2022-04-17 02:02:59,44.6453,-63.5724,47.7,81,100,3.0
234,Airai,TL,2022-04-17 02:03:11,-8.9266,125.4092,74.34,59,29,1.7
235,Ankazoabo,MG,2022-04-17 02:03:12,-22.2833,44.5167,71.35,74,0,4.63
236,Kamaishi,JP,2022-04-17 02:03:12,39.2667,141.8833,52.0,50,0,9.75
237,Piranhas,BR,2022-04-17 02:03:12,-16.4269,-51.8222,68.04,62,6,7.74
238,Ciudad Bolivar,VE,2022-04-17 02:03:13,8.1222,-63.5497,82.9,58,11,15.77
239,Zhigansk,RU,2022-04-17 01:58:34,66.7697,123.3711,15.48,94,100,15.23
240,Port Blair,IN,2022-04-17 02:03:13,11.6667,92.75,84.24,79,20,2.3
241,Saint-Pierre,RE,2022-04-17 02:03:13,-21.3393,55.4781,73.08,80,0,5.75
242,Sawang Daen Din,TH,2022-04-17 02:03:14,17.4753,103.4575,87.12,99,99,10.63
243,Atar,MR,2022-04-17 02:03:14,20.5169,-13.0499,77.16,14,0,3.24
244,Maria La Baja,CO,2022-04-17 02:03:14,9.9832,-75.3016,80.22,83,32,4.03
245,Vanino,RU,2022-04-17 02:03:15,49.0869,140.2543,40.21,75,71,1.5
246,Portland,US,2022-04-17 01:59:56,45.5234,-122.6762,50.61,65,60,8.01
247,Pangnirtung,CA,2022-04-17 02:02:47,66.1451,-65.7125,-0.85,90,100,6.82
248,Mantua,IT,2022-04-17 02:03:15,45.1667,10.7833,52.84,76,35,6.04
249,Lingao,CN,2022-04-17 02:03:16,19.9103,109.6859,77.29,81,100,10.49
250,Esperance,AU,2022-04-17 02:03:16,-33.8667,121.9,62.96,64,93,15.35
251,Benxi,CN,2022-04-17 02:03:16,41.2886,123.765,62.92,16,34,9.04
252,Axim,GH,2022-04-17 02:03:17,4.8699,-2.2405,75.24,88,100,3.27
253,Ambon,ID,2022-04-17 02:03:17,-3.6954,128.1814,87.94,66,20,3.44
254,Jaisalmer,IN,2022-04-17 02:03:17,26.9147,70.9181,80.11,54,20,14.0
255,Namatanai,PG,2022-04-17 02:03:18,-3.6667,152.4333,84.38,71,70,7.52
256,Mount Isa,AU,2022-04-17 01:58:29,-20.7333,139.5,91.17,17,5,9.22
257,Dongsheng,CN,2022-04-17 02:03:18,39.8161,109.9776,38.98,90,100,13.2
258,Leningradskiy,RU,2022-04-17 02:03:19,69.3833,178.4167,14.5,88,97,8.72
259,Pevek,RU,2022-04-17 02:03:19,69.7008,170.3133,7.65,89,100,6.44
260,Marsabit,KE,2022-04-17 02:03:19,2.3284,37.9899,66.36,80,100,5.19
261,Dandong,CN,2022-04-17 02:03:20,40.1292,124.3947,62.2,30,2,7.81
262,Waipawa,NZ,2022-04-17 02:03:20,-41.4122,175.5153,56.01,60,19,8.52
263,East London,ZA,2022-04-17 01:58:52,-33.0153,27.9116,61.38,77,100,6.06
264,Saldanha,ZA,2022-04-17 01:59:03,-33.0117,17.9442,57.25,69,0,9.95
265,Soe,ID,2022-04-17 02:03:21,-9.8607,124.284,79.43,63,45,4.45
266,Tukrah,LY,2022-04-17 02:03:21,32.5341,20.5791,61.72,89,99,7.78
267,Gesves,BE,2022-04-17 02:03:21,50.4015,5.0746,44.89,68,22,6.38
268,Bengkulu,ID,2022-04-17 02:03:28,-3.8004,102.2655,83.46,70,89,2.75
269,Havelock,US,2022-04-17 02:04:22,34.8791,-76.9013,67.98,90,0,6.91
270,Banjar,ID,2022-04-17 02:04:22,-8.19,114.9675,86.77,70,92,2.53
271,Karlstad,SE,2022-04-17 02:04:22,59.3793,13.5036,32.56,93,100,3.44
272,Bacolod,PH,2022-04-17 02:02:44,10.6667,122.95,85.19,68,99,8.77
273,Etchoropo,MX,2022-04-17 02:04:23,26.7667,-109.6667,80.42,36,100,8.41
274,Taunggyi,MM,2022-04-17 02:04:23,20.7833,97.0333,77.09,47,11,4.7
275,Barentu,ER,2022-04-17 02:04:23,15.1139,37.5928,79.43,43,96,11.48
276,Naze,JP,2022-04-17 02:03:52,28.3667,129.4833,64.69,58,90,10.18
277,Port Hedland,AU,2022-04-17 02:04:24,-20.3167,118.5667,98.65,14,11,10.36
278,Castelo Do Piaui,BR,2022-04-17 02:04:24,-5.3222,-41.5525,72.32,94,63,2.55
279,Port Lincoln,AU,2022-04-17 02:00:21,-34.7333,135.8667,66.49,74,100,9.08
280,Tahoua,NE,2022-04-17 02:00:12,14.8888,5.2692,80.58,12,99,9.33
281,Konstantinovka,RU,2022-04-17 02:04:25,49.6167,127.9833,42.26,46,96,15.3
282,Yulara,AU,2022-04-17 02:04:25,-25.2406,130.9889,84.04,30,5,11.5
283,Shitkino,RU,2022-04-17 02:04:25,56.3703,98.3543,48.67,74,100,6.26
284,Soyo,AO,2022-04-17 02:04:26,-6.1349,12.3689,77.27,91,84,7.02
285,Xinzhi,CN,2022-04-17 02:04:26,36.4989,111.7047,60.24,23,96,4.52
286,Akdepe,TM,2022-04-17 02:04:27,42.0551,59.3788,56.12,54,100,12.59
287,Vaitape,PF,2022-04-17 02:01:04,-16.5167,-151.75,81.34,72,6,11.54
288,Siloam Springs,US,2022-04-17 02:04:27,36.1881,-94.5405,55.94,50,100,10.36
289,Aksarka,RU,2022-04-17 02:04:27,66.5606,67.7975,11.79,91,100,2.73
290,Sobolevo,RU,2022-04-17 02:02:48,54.4299,31.8996,29.71,89,92,12.84
291,Meulaboh,ID,2022-04-17 02:04:28,4.1363,96.1285,81.82,80,50,2.28
292,Lewistown,US,2022-04-17 02:04:28,40.5992,-77.5714,49.71,90,75,5.75
