City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
241,Tautira,PF,-17.7333,-149.15,80.31,74,22,7.07,light rain
242,Jaguarari,BR,-10.2639,-40.1958,68.29,95,83,10.25,broken clouds
243,Rawson,AR,-43.3002,-65.1023,61.56,65,6,7.7,clear sky
244,Kahului,US,20.8947,-156.47,82.42,64,20,20.71,few clouds
245,Tokur,RU,53.1333,132.9,26.33,92,100,4.88,overcast clouds
246,Kuruman,ZA,-27.4524,23.4325,56.14,61,0,7.96,clear sky
247,La Ronge,CA,55.1001,-105.2842,39.42,52,40,11.5,scattered clouds
248,Viedma,AR,-40.8135,-62.9967,68.86,49,96,19.04,overcast clouds
249,Rancho Palos Verdes,US,33.7445,-118.387,77.41,76,75,23.02,broken clouds
250,Boende,CD,-0.2167,20.8667,72.21,97,94,1.72,light rain
251,Port Lincoln,AU,-34.7333,135.8667,59.72,60,11,8.03,few clouds
252,Fare,PF,-16.7,-151.0167,81.1,72,5,8.61,clear sky
253,Te Anau,NZ,-45.4167,167.7167,60.01,71,100,3.71,overcast clouds
254,Kanigoro,ID,-8.13,112.219,74.86,89,99,2.91,light rain
255,Port Augusta,AU,-32.5,137.7667,61.54,64,61,14.03,broken clouds
256,Novikovo,RU,51.1537,37.8879,49.12,89,83,10.31,broken clouds
257,Mariani,IN,26.6667,94.3333,68.18,91,35,3.13,scattered clouds
258,Lumphat,KH,13.4878,106.9816,72.18,77,100,3.69,overcast clouds
259,Bobrov,RU,51.0961,40.0333,51.21,79,100,11.88,overcast clouds
260,Meulaboh,ID,4.1363,96.1285,76.33,91,97,5.23,moderate rain
261,Kodiak,US,57.79,-152.4072,38.71,81,100,18.41,overcast clouds
262,Bitung,ID,1.4451,125.1824,81.45,78,37,3.09,scattered clouds
263,Yarada,IN,17.65,83.2667,80.92,74,40,4.61,scattered clouds
264,Zyryanka,RU,65.75,150.85,20.28,88,67,12.08,broken clouds
265,Suleya,RU,55.1352,58.8792,43.41,91,99,4.99,overcast clouds
